old_index,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,waterfront_encoded,view_encoded,property_typ_apartment,property_typ_multi_generation_house,property_typ_semi_detached_house,property_typ_single_family_house,property_typ_top_floor_apartment
3776,680000,6,2.5,3180,9375,1.0,4,8.0,1590,1967,0,0,0.0,1.0,0.0,0.0,0.0
3778,810000,3,2.0,2390,8025,2.0,5,7.0,0,1921,0,0,1.0,0.0,0.0,0.0,0.0
3779,605000,3,2.5,2460,138085,2.0,4,9.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
3780,522000,3,1.75,1630,15600,1.0,3,7.0,0,1958,0,0,1.0,0.0,0.0,0.0,0.0
3781,759000,5,2.75,3490,8230,2.0,3,10.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
3782,411000,4,2.75,2500,5257,2.0,3,8.0,0,1966,0,0,1.0,0.0,0.0,0.0,0.0
3783,286950,4,2.5,2080,9846,1.0,3,7.0,840,1984,0,0,0.0,0.0,1.0,0.0,0.0
3784,440000,3,1.5,1290,1286,3.0,3,7.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
3785,149000,3,1.0,1700,8645,1.0,3,6.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
3786,284700,3,1.0,1700,8645,1.0,3,6.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
3787,374950,3,2.5,2540,11562,1.0,3,8.0,1250,1964,0,1,0.0,0.0,1.0,0.0,0.0
3788,816000,3,1.5,1180,8545,1.0,3,8.0,0,1952,0,0,1.0,0.0,0.0,0.0,0.0
3789,533250,4,1.75,1520,15398,1.0,4,7.0,150,1960,0,0,0.0,0.0,1.0,0.0,0.0
3790,689800,3,2.75,2390,9313,1.0,5,8.0,1000,1942,0,0,0.0,0.0,1.0,0.0,0.0
3791,775000,4,2.75,2740,6200,1.5,4,8.0,920,1947,0,3,0.0,0.0,1.0,0.0,0.0
3792,702000,3,2.5,2190,8528,1.0,3,8.0,430,1991,0,0,0.0,0.0,1.0,0.0,0.0
3793,160000,3,1.0,1350,8700,1.5,3,6.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
3794,255500,3,1.0,1350,8700,1.5,3,6.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
3795,949000,4,2.75,2980,42253,1.0,4,9.0,1120,1973,0,0,0.0,0.0,0.0,1.0,0.0
3796,169500,2,1.0,790,7450,1.0,4,6.0,0,1944,0,0,1.0,0.0,0.0,0.0,0.0
3797,586000,4,2.25,2130,9000,2.0,4,8.0,0,1965,0,0,1.0,0.0,0.0,0.0,0.0
3798,680000,4,2.5,2700,37431,1.0,4,8.0,1100,1978,0,0,0.0,0.0,1.0,0.0,0.0
3799,851500,3,2.0,3200,18184,1.0,5,8.0,1200,1977,0,0,0.0,0.0,1.0,0.0,0.0
3800,582500,2,1.5,1159,4800,1.0,3,7.0,0,1948,0,0,1.0,0.0,0.0,0.0,0.0
3801,637000,4,3.5,3080,118918,2.0,3,9.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
3802,225000,3,1.0,1000,9295,1.0,3,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
3803,795000,3,3.25,2260,3727,2.0,3,8.0,380,2003,0,0,0.0,0.0,1.0,0.0,0.0
3804,304999,4,2.25,2270,9600,1.0,3,7.0,980,1976,0,0,0.0,0.0,1.0,0.0,0.0
3805,95000,1,0.75,760,5746,1.0,4,5.0,0,1915,0,0,0.0,0.0,0.0,0.0,1.0
3806,240000,4,1.75,1420,5382,1.0,5,5.0,380,1942,0,0,0.0,0.0,1.0,0.0,0.0
3807,772000,4,2.5,2500,8680,1.0,4,7.0,1250,1958,0,0,0.0,0.0,1.0,0.0,0.0
3808,245000,2,1.5,1450,6258,1.0,4,8.0,0,1983,0,0,1.0,0.0,0.0,0.0,0.0
3809,430000,5,3.0,2500,5750,1.0,3,8.0,1070,1999,0,0,0.0,0.0,1.0,0.0,0.0
3810,799000,3,1.5,2210,6300,1.5,5,8.0,0,1916,0,0,1.0,0.0,0.0,0.0,0.0
3811,880000,5,2.75,3020,9187,2.0,3,9.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
3812,750000,4,2.5,3290,7538,2.0,3,9.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3814,532000,3,2.5,1820,4910,2.0,3,8.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
3815,525000,4,2.75,2500,10330,1.0,4,8.0,1120,1978,0,0,0.0,0.0,1.0,0.0,0.0
3816,239000,2,1.0,1210,9375,1.0,4,7.0,0,1952,0,1,1.0,0.0,0.0,0.0,0.0
3817,460000,2,1.5,1090,4000,1.0,3,8.0,120,1951,0,0,0.0,0.0,1.0,0.0,0.0
3818,540000,4,2.25,1330,8400,1.5,3,8.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
3819,475000,2,1.0,890,4590,1.0,3,7.0,0,1923,0,0,1.0,0.0,0.0,0.0,0.0
3820,445000,3,1.75,1360,4998,1.0,3,8.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
3821,1575000,5,3.75,4220,9240,2.0,5,11.0,800,1991,0,2,0.0,0.0,0.0,1.0,0.0
3822,549950,4,2.5,3780,6800,2.0,3,8.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3823,294950,4,2.0,2610,14321,1.5,4,6.0,920,1940,0,0,0.0,0.0,1.0,0.0,0.0
3824,736000,3,2.5,1980,2975,3.0,3,8.0,0,1993,0,2,1.0,0.0,0.0,0.0,0.0
3825,214946,3,1.75,1290,8688,1.0,4,7.0,0,1980,0,0,1.0,0.0,0.0,0.0,0.0
3826,856000,5,3.25,3620,5500,2.0,3,9.0,0,2003,0,2,1.0,0.0,0.0,0.0,0.0
3827,775000,2,2.5,2680,7392,1.0,3,9.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3828,205000,3,1.75,1200,8631,1.0,3,7.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
3829,429592,2,2.75,1992,10946,1.5,5,6.0,704,1903,1,4,0.0,0.0,1.0,0.0,0.0
3830,414250,4,1.75,1640,13566,1.0,4,7.0,520,1977,0,0,0.0,0.0,1.0,0.0,0.0
3831,399950,4,2.75,1920,4400,1.0,4,6.0,960,1906,0,0,0.0,0.0,1.0,0.0,0.0
3832,319990,3,2.25,1840,7326,1.0,5,7.0,470,1979,0,0,0.0,0.0,1.0,0.0,0.0
3833,524000,3,1.5,1310,9471,1.0,4,8.0,0,1970,0,0,1.0,0.0,0.0,0.0,0.0
3834,349950,2,1.0,1050,6317,1.5,4,7.0,0,1913,0,0,1.0,0.0,0.0,0.0,0.0
3835,889000,4,2.5,2570,4480,1.5,4,8.0,990,1927,0,0,0.0,0.0,1.0,0.0,0.0
3836,300000,3,1.0,930,5160,1.5,5,6.0,0,1919,0,0,1.0,0.0,0.0,0.0,0.0
3837,395000,1,1.0,730,3000,1.0,3,7.0,0,1911,0,0,0.0,0.0,0.0,0.0,1.0
3838,348000,2,2.5,1270,1242,3.0,3,7.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
3839,830000,2,1.0,1150,6000,1.0,4,7.0,440,1921,0,1,0.0,0.0,1.0,0.0,0.0
3840,173000,2,1.0,820,10450,1.0,4,7.0,0,1965,0,0,1.0,0.0,0.0,0.0,0.0
3841,585000,4,1.75,3000,42200,1.0,3,7.0,1500,1950,0,3,0.0,0.0,1.0,0.0,0.0
3842,576750,3,2.0,2220,5000,1.0,4,7.0,1110,1966,0,0,0.0,0.0,1.0,0.0,0.0
3843,495000,5,3.25,2500,7620,1.0,3,7.0,1250,1962,0,3,0.0,0.0,1.0,0.0,0.0
3844,216650,3,3.5,1540,1427,2.0,3,7.0,180,2007,0,0,0.0,0.0,1.0,0.0,0.0
3845,615000,4,2.75,2750,15450,1.0,3,8.0,950,1978,0,0,0.0,0.0,1.0,0.0,0.0
3846,675000,4,2.5,3130,12463,1.0,4,8.0,1510,1978,0,0,0.0,0.0,1.0,0.0,0.0
3847,510000,3,2.0,1430,9250,1.0,4,8.0,440,1983,0,0,0.0,0.0,1.0,0.0,0.0
3849,359950,4,2.5,3010,5701,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
3850,265000,3,1.5,1530,7500,1.5,3,7.0,0,1986,0,0,1.0,0.0,0.0,0.0,0.0
3851,210000,3,1.0,1240,4842,1.0,4,6.0,0,1916,0,0,1.0,0.0,0.0,0.0,0.0
3852,367000,3,2.5,2260,93218,1.0,4,6.0,0,1998,0,2,1.0,0.0,0.0,0.0,0.0
3853,1075000,4,2.25,2820,5000,1.5,4,9.0,1020,1926,0,2,0.0,0.0,0.0,1.0,0.0
3855,203000,3,2.25,1630,9145,1.0,3,7.0,0,1960,0,0,1.0,0.0,0.0,0.0,0.0
3856,535000,4,2.5,2880,23994,2.0,3,9.0,0,2002,0,3,1.0,0.0,0.0,0.0,0.0
3857,525000,3,3.25,2200,7440,2.0,4,7.0,490,1947,0,0,0.0,0.0,1.0,0.0,0.0
3858,347500,3,1.75,1620,7500,1.0,3,7.0,400,1981,0,0,0.0,0.0,1.0,0.0,0.0
3859,620000,3,1.75,1480,2185,2.5,3,9.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
3860,645000,4,2.5,2250,10696,2.0,3,8.0,0,1996,0,0,1.0,0.0,0.0,0.0,0.0
3862,280000,3,2.0,1790,42399,1.0,4,7.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3863,432000,3,2.0,1400,6380,1.0,4,7.0,700,1924,0,0,0.0,0.0,1.0,0.0,0.0
3864,790000,3,1.5,2390,4452,2.0,3,9.0,600,1929,0,1,0.0,0.0,0.0,1.0,0.0
3865,635000,4,1.75,2400,10050,1.0,5,8.0,0,1957,0,0,1.0,0.0,0.0,0.0,0.0
3866,442000,3,1.5,2050,6384,1.0,3,7.0,700,1958,0,0,0.0,0.0,1.0,0.0,0.0
3867,490000,4,3.0,2640,5267,2.0,3,7.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
3868,250000,5,1.75,2320,7700,1.0,5,7.0,1030,1962,0,0,0.0,0.0,1.0,0.0,0.0
3869,1325000,4,2.5,2440,3600,2.5,4,8.0,0,1902,0,0,1.0,0.0,0.0,0.0,0.0
3870,120000,3,1.0,1260,7500,1.0,3,6.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
3872,325000,4,2.5,1930,8458,2.0,3,7.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
3873,210000,4,1.75,1200,7680,1.0,3,7.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
3874,215000,1,1.0,970,7639,1.0,4,5.0,400,1920,0,0,1.0,0.0,0.0,0.0,0.0
3875,387000,3,1.75,1810,10800,1.0,5,8.0,600,1968,0,0,0.0,0.0,1.0,0.0,0.0
3876,408000,3,1.0,1380,7015,1.5,4,7.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
3877,410000,3,1.0,1470,6500,1.0,4,7.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
3878,216000,3,1.0,1010,7920,1.0,3,6.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
3879,390000,3,1.0,1010,7920,1.0,3,6.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
3880,357000,3,1.5,1340,11744,1.0,2,7.0,0,1950,0,0,1.0,0.0,0.0,0.0,0.0
3881,215000,3,1.0,970,7275,1.0,4,7.0,0,1970,0,0,1.0,0.0,0.0,0.0,0.0
3882,265000,3,1.0,1122,6554,1.5,3,5.0,0,1900,0,0,1.0,0.0,0.0,0.0,0.0
3883,589950,3,2.75,1670,1350,3.0,3,9.0,320,2014,0,0,0.0,0.0,0.0,1.0,0.0
3884,440000,3,1.75,2840,16851,1.0,3,8.0,1240,1950,0,3,0.0,0.0,1.0,0.0,0.0
3886,730000,3,2.25,2040,130680,2.0,3,9.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
3887,425000,4,2.5,3052,12145,2.0,3,8.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3888,680000,3,2.5,2620,14248,2.0,4,8.0,790,1977,0,0,0.0,0.0,1.0,0.0,0.0
3889,341500,5,2.25,3120,10400,2.0,3,8.0,0,1980,0,0,1.0,0.0,0.0,0.0,0.0
3890,395000,2,1.0,1100,3975,1.0,3,7.0,200,1950,0,0,0.0,0.0,1.0,0.0,0.0
3891,1225000,4,2.75,3410,95396,1.5,4,10.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
3892,695500,5,2.75,2510,9180,1.0,4,8.0,910,1975,0,1,0.0,0.0,1.0,0.0,0.0
3893,308000,3,1.75,1680,8629,1.0,3,8.0,480,1977,0,0,0.0,0.0,1.0,0.0,0.0
3894,422500,3,2.0,1960,6450,1.0,4,7.0,960,1977,0,0,0.0,0.0,1.0,0.0,0.0
3895,418000,2,1.0,1040,6900,1.0,4,7.0,0,1915,0,0,1.0,0.0,0.0,0.0,0.0
3896,385000,5,1.5,1750,9780,1.5,4,7.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
3897,876650,3,3.25,2170,12508,1.5,5,9.0,520,1928,0,0,0.0,0.0,0.0,1.0,0.0
3898,450000,3,2.5,1639,2710,2.0,3,8.0,160,2003,0,0,0.0,0.0,1.0,0.0,0.0
3899,418800,4,2.25,2100,9984,1.0,4,7.0,810,1973,0,0,0.0,0.0,1.0,0.0,0.0
3900,330000,2,1.0,880,1753,2.0,4,7.0,0,1945,0,0,1.0,0.0,0.0,0.0,0.0
3901,550000,3,1.75,1940,8376,1.0,4,8.0,650,1963,0,0,0.0,0.0,1.0,0.0,0.0
3902,270000,4,2.5,2490,11650,1.0,3,7.0,1100,1990,0,0,0.0,0.0,1.0,0.0,0.0
3903,978500,3,2.25,2060,7080,2.0,3,9.0,260,1940,0,0,0.0,0.0,0.0,1.0,0.0
3904,975000,4,2.5,2720,10455,2.0,3,10.0,220,1981,0,2,0.0,0.0,0.0,1.0,0.0
3905,455000,3,2.25,2180,6850,1.0,3,7.0,430,1973,0,0,0.0,0.0,1.0,0.0,0.0
3906,1415000,4,3.25,3600,38016,2.0,3,11.0,290,1991,0,2,0.0,0.0,0.0,1.0,0.0
3907,220000,2,1.0,840,9000,1.0,5,6.0,0,1951,0,0,1.0,0.0,0.0,0.0,0.0
3908,490000,3,2.0,2370,12196,2.0,4,7.0,0,1970,0,0,1.0,0.0,0.0,0.0,0.0
3909,420000,4,2.25,2270,9100,2.0,3,7.0,0,1978,0,0,1.0,0.0,0.0,0.0,0.0
3910,408500,4,2.5,2720,7043,2.0,3,9.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
3911,716000,3,1.5,1140,4800,1.5,3,7.0,0,1915,0,0,1.0,0.0,0.0,0.0,0.0
3912,965000,4,2.5,2460,5000,2.0,5,8.0,840,1938,0,0,0.0,0.0,1.0,0.0,0.0
3913,357823,3,1.5,1240,9196,1.0,3,8.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
3915,425000,3,2.25,1670,9500,1.0,3,7.0,500,1977,0,0,0.0,0.0,1.0,0.0,0.0
3916,711777,4,1.75,2220,6731,1.0,4,7.0,1110,1953,0,0,0.0,0.0,1.0,0.0,0.0
3917,335000,3,1.0,980,9903,1.0,4,7.0,0,1966,0,0,1.0,0.0,0.0,0.0,0.0
3918,825000,4,1.5,1890,6938,1.5,3,8.0,0,1919,0,0,1.0,0.0,0.0,0.0,0.0
3919,210000,2,1.0,1100,6000,1.5,4,6.0,0,1900,0,0,1.0,0.0,0.0,0.0,0.0
3920,575000,2,1.75,2770,19700,2.0,3,8.0,990,1983,0,0,0.0,0.0,1.0,0.0,0.0
3921,1208000,4,2.75,4250,10925,2.0,3,10.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
3922,431500,2,2.0,1370,4866,1.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
3923,475000,3,1.5,1480,13457,1.0,3,7.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
3924,1495000,4,3.75,3770,4000,2.5,5,9.0,880,1916,0,0,0.0,0.0,0.0,1.0,0.0
3926,775000,3,2.5,3820,35016,2.0,4,9.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
3927,635000,3,2.5,1530,2978,1.0,3,7.0,320,1997,0,0,0.0,0.0,1.0,0.0,0.0
3929,405000,3,2.25,1590,7267,1.0,4,7.0,490,1976,0,0,0.0,0.0,1.0,0.0,0.0
3930,210000,3,1.0,1520,8600,1.0,3,6.0,480,1951,0,0,0.0,0.0,1.0,0.0,0.0
3931,880000,4,2.5,2350,4675,2.0,3,9.0,200,1923,0,0,0.0,0.0,0.0,1.0,0.0
3932,239000,4,2.0,1370,8837,1.5,3,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
3933,515000,3,2.5,1540,6100,1.0,3,6.0,770,1944,0,0,0.0,0.0,1.0,0.0,0.0
3935,215000,4,2.25,1500,5393,2.0,3,7.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
3936,315000,6,2.0,1750,17685,1.0,4,5.0,0,1943,0,0,1.0,0.0,0.0,0.0,0.0
3937,442500,3,1.5,1800,8303,1.0,3,7.0,600,1957,0,0,0.0,0.0,1.0,0.0,0.0
3938,311000,2,1.75,1180,55321,1.0,3,8.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
3939,425000,2,1.0,830,6030,1.0,4,6.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
3940,433500,3,1.75,1540,9450,1.0,4,6.0,500,1919,0,0,0.0,0.0,1.0,0.0,0.0
3941,450000,3,2.25,1610,8296,2.0,3,8.0,0,1978,0,0,1.0,0.0,0.0,0.0,0.0
3942,675000,3,2.25,1990,10260,2.0,4,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
3943,535000,3,2.5,2070,4132,2.0,3,8.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
3944,577000,3,1.75,1760,12874,1.0,4,7.0,530,1967,0,0,0.0,0.0,1.0,0.0,0.0
3945,480000,3,1.75,1740,8528,1.0,4,7.0,450,1939,0,0,0.0,0.0,1.0,0.0,0.0
3946,400000,3,1.5,1950,4473,1.0,4,6.0,420,1914,0,0,0.0,0.0,1.0,0.0,0.0
3947,304000,3,1.0,1280,8184,1.5,4,6.0,0,1947,0,0,1.0,0.0,0.0,0.0,0.0
3948,355000,3,1.75,1460,7203,1.0,3,7.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3950,550000,4,1.75,2410,8447,2.0,4,8.0,350,1936,0,3,0.0,0.0,1.0,0.0,0.0
3951,550000,4,1.75,2410,8447,2.0,4,8.0,350,1936,0,3,0.0,0.0,1.0,0.0,0.0
3952,210000,3,1.75,1400,7300,2.0,3,6.0,0,1948,0,0,1.0,0.0,0.0,0.0,0.0
3953,317000,3,2.5,2100,7587,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3955,265000,3,1.0,1000,9150,1.0,3,7.0,0,1969,0,0,1.0,0.0,0.0,0.0,0.0
3956,700000,4,3.5,3150,6175,2.0,3,9.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
3957,1020000,5,3.5,4180,17841,2.0,3,10.0,1020,1990,0,2,0.0,0.0,0.0,1.0,0.0
3958,1145000,4,2.25,2840,20242,1.0,3,8.0,600,1972,0,0,0.0,0.0,1.0,0.0,0.0
3959,460000,4,2.5,2110,35091,1.0,4,8.0,820,1985,0,0,0.0,0.0,1.0,0.0,0.0
3960,410000,2,1.5,1660,4000,1.0,3,7.0,660,1950,0,0,0.0,0.0,1.0,0.0,0.0
3961,665000,4,3.0,2160,4400,1.0,5,7.0,840,1921,0,0,0.0,0.0,1.0,0.0,0.0
3962,600000,4,2.5,2420,7744,2.0,3,9.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
3963,502000,4,1.75,1920,3844,1.0,3,7.0,750,1967,0,0,0.0,0.0,1.0,0.0,0.0
3964,364950,4,2.5,2310,8030,2.0,3,7.0,0,1978,0,0,1.0,0.0,0.0,0.0,0.0
3965,680000,3,2.25,2330,4000,1.5,5,7.0,810,1927,0,2,0.0,0.0,1.0,0.0,0.0
3966,235500,5,2.5,2340,13713,1.0,2,8.0,670,1967,0,0,0.0,0.0,1.0,0.0,0.0
3967,576000,4,2.5,2590,5756,2.0,3,8.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
3968,405000,2,3.0,1410,1240,2.0,3,8.0,270,2006,0,0,0.0,0.0,1.0,0.0,0.0
3969,335000,3,2.75,2850,8039,1.0,4,8.0,1310,1989,0,0,0.0,0.0,1.0,0.0,0.0
3970,122000,2,1.0,730,6728,1.0,3,6.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
3971,432000,3,1.75,1470,6250,1.0,4,7.0,400,1939,0,3,0.0,0.0,1.0,0.0,0.0
3972,375000,4,2.25,2330,11400,1.0,4,8.0,0,1974,0,0,1.0,0.0,0.0,0.0,0.0
3973,276000,4,2.25,2460,11250,1.0,4,8.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
3974,450000,3,2.25,2080,111513,1.5,3,8.0,400,1977,0,0,0.0,0.0,1.0,0.0,0.0
3976,279000,3,2.5,1450,4106,2.0,3,7.0,0,2011,0,0,1.0,0.0,0.0,0.0,0.0
3977,635000,3,1.75,1340,3900,2.0,5,7.0,0,1900,0,0,1.0,0.0,0.0,0.0,0.0
3978,350000,3,2.5,2730,7372,2.0,3,9.0,0,1998,0,0,1.0,0.0,0.0,0.0,0.0
3979,218000,3,1.0,1140,7560,1.0,4,6.0,0,1958,0,0,1.0,0.0,0.0,0.0,0.0
3980,750000,4,1.5,1950,6300,1.5,3,7.0,300,1944,0,1,0.0,0.0,1.0,0.0,0.0
3981,310597,4,1.75,2000,25700,1.0,4,7.0,850,1958,0,0,0.0,0.0,1.0,0.0,0.0
3982,355000,3,1.0,900,37800,1.0,4,5.0,200,1923,0,0,0.0,0.0,1.0,0.0,0.0
3983,735000,5,2.75,3390,5211,2.0,3,9.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3984,155000,1,1.0,720,6000,1.0,3,6.0,0,1940,0,0,0.0,0.0,0.0,0.0,1.0
3985,354000,3,1.0,940,10368,1.0,3,7.0,0,1965,0,0,1.0,0.0,0.0,0.0,0.0
3986,415000,3,1.75,1770,10513,1.0,4,7.0,370,1982,0,0,0.0,0.0,1.0,0.0,0.0
3987,202000,1,1.0,590,833,1.0,4,7.0,0,1926,0,0,0.0,0.0,0.0,0.0,1.0
3988,580000,3,2.5,1980,1873,2.0,3,7.0,510,1996,0,0,0.0,0.0,1.0,0.0,0.0
3989,1495000,4,3.25,3070,10375,2.0,3,10.0,890,1962,0,0,0.0,0.0,0.0,1.0,0.0
3990,790000,4,2.5,3500,7519,2.0,3,9.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3991,499900,3,2.5,2100,5112,2.0,3,8.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
3992,525000,4,2.25,2620,98881,1.0,3,7.0,800,1952,0,0,0.0,0.0,1.0,0.0,0.0
3993,810000,4,2.5,2810,10613,2.0,3,9.0,0,1989,0,0,1.0,0.0,0.0,0.0,0.0
3994,425000,4,1.5,2290,8773,1.0,4,7.0,960,1947,0,0,0.0,0.0,1.0,0.0,0.0
3995,241250,3,1.75,1350,7588,1.0,3,7.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
3996,318700,4,2.5,2770,19116,1.0,4,8.0,1170,1961,0,0,0.0,0.0,1.0,0.0,0.0
3997,720000,4,1.75,2530,5000,1.5,5,8.0,460,1917,0,2,0.0,0.0,1.0,0.0,0.0
3998,291000,3,1.0,1280,10500,1.5,4,5.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
3999,420000,3,1.75,1060,38644,1.0,3,7.0,0,1983,0,0,1.0,0.0,0.0,0.0,0.0
4000,210000,2,1.75,1000,3554,1.0,4,8.0,0,1975,0,0,1.0,0.0,0.0,0.0,0.0
4001,645000,3,3.25,3870,11000,2.0,3,9.0,900,1991,0,2,0.0,0.0,0.0,1.0,0.0
4002,762000,5,2.0,3370,5000,1.5,4,7.0,1230,1907,0,0,0.0,0.0,1.0,0.0,0.0
4003,247500,4,1.75,2290,7765,1.0,3,6.0,0,1936,0,0,1.0,0.0,0.0,0.0,0.0
4004,282500,3,2.25,1670,7150,2.0,4,7.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
4005,395000,3,1.75,1460,22651,1.0,4,7.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
4006,295000,3,1.75,1770,8235,1.0,3,7.0,740,1960,0,0,0.0,0.0,1.0,0.0,0.0
4007,235000,2,1.0,820,5100,1.0,4,6.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
4008,770000,3,1.75,1900,6334,1.0,3,8.0,450,1948,0,2,0.0,0.0,1.0,0.0,0.0
4009,559950,2,2.0,1870,4950,1.0,3,8.0,0,2006,0,0,1.0,0.0,0.0,0.0,0.0
4010,639000,4,2.0,1840,5419,1.0,4,7.0,920,1942,0,0,0.0,0.0,1.0,0.0,0.0
4011,314950,3,1.0,1590,8470,1.0,4,7.0,450,1967,0,0,0.0,0.0,1.0,0.0,0.0
4012,525000,3,1.0,1640,6180,1.0,4,7.0,0,1946,0,0,1.0,0.0,0.0,0.0,0.0
4014,820000,3,1.75,2160,6272,1.0,4,8.0,770,1960,0,0,0.0,0.0,1.0,0.0,0.0
4015,1385000,3,3.0,2490,3600,2.0,4,8.0,700,1911,0,3,0.0,0.0,1.0,0.0,0.0
4016,521450,3,2.0,1290,5700,1.0,5,7.0,0,1950,0,0,1.0,0.0,0.0,0.0,0.0
4017,760750,3,2.5,3190,49137,2.0,3,9.0,0,1988,0,0,1.0,0.0,0.0,0.0,0.0
4018,759600,4,1.0,1540,115434,1.5,4,7.0,0,1923,0,0,1.0,0.0,0.0,0.0,0.0
4019,346150,3,2.0,2140,7200,1.0,4,8.0,660,1966,0,0,0.0,0.0,1.0,0.0,0.0
4020,390000,2,1.0,980,3800,1.0,3,7.0,0,1926,0,0,1.0,0.0,0.0,0.0,0.0
4021,359950,5,2.25,2450,9432,2.0,3,8.0,0,1973,0,0,1.0,0.0,0.0,0.0,0.0
4022,430000,3,2.0,1360,5120,1.5,4,6.0,450,1924,0,0,0.0,0.0,1.0,0.0,0.0
4023,960000,4,3.5,4610,11676,2.0,3,10.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
4025,1010000,3,2.5,2860,5805,2.0,3,9.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
4026,290000,3,2.0,1810,11456,1.0,3,7.0,0,1970,0,0,1.0,0.0,0.0,0.0,0.0
4027,1350000,4,2.0,2240,10296,1.0,5,8.0,0,1948,0,0,1.0,0.0,0.0,0.0,0.0
4028,777000,3,3.25,3610,59677,2.0,3,10.0,1170,2003,0,0,0.0,0.0,0.0,1.0,0.0
4029,526000,2,1.0,1450,4500,1.5,4,7.0,0,1921,0,0,1.0,0.0,0.0,0.0,0.0
4030,550000,3,3.5,1450,1091,2.0,3,8.0,250,2007,0,0,0.0,0.0,1.0,0.0,0.0
4031,276000,3,1.5,1820,8750,1.0,4,7.0,620,1958,0,0,0.0,0.0,1.0,0.0,0.0
4033,325000,3,1.75,2080,6554,1.0,3,7.0,1040,1950,0,0,0.0,0.0,1.0,0.0,0.0
4034,365000,3,2.5,1780,1754,3.0,3,8.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
4036,825050,4,3.25,2860,3680,2.0,3,9.0,880,1925,0,0,0.0,0.0,0.0,1.0,0.0
